CPLAUQKGCPUVOT-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
QHOCORNQRDCVAD-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
JPOQTFAFYNZPBH-UHFFFAOYSA-N	Saccharolipids	CHEMONTID:0003918
HUYIRRKHPBSVEV-UHFFFAOYSA-N	Oligopeptides	CHEMONTID:0004831
STLSZDAKFGPDSI-UHFFFAOYSA-N	Oligopeptides	CHEMONTID:0004831
BQXQNYKLBIULJK-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
FWJQUEKBBKPZQK-UHFFFAOYSA-N	Oligopeptides	CHEMONTID:0004831
GNEGBNSXWAYQST-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
BZNUAQFQUDWISV-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
IAZCAUZHLGCFRP-UHFFFAOYSA-N	Oligopeptides	CHEMONTID:0004831
JFUWPILXKMFKSI-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
CCJBNKIIKQEVSH-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
YESMDSINNDUEQF-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
CDBGSCHQXKMSEL-UHFFFAOYSA-N	Dipeptides	CHEMONTID:0004830
XVOOZFMKVUIYNI-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
KVQGRUBRBCJRRH-UHFFFAOYSA-N	Saccharolipids	CHEMONTID:0003918
LZUAFJQHCHFWSO-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
GGKDUNKATFCZPV-UHFFFAOYSA-N	Alanine and derivatives	CHEMONTID:0004314
DAZCZJKWWLJGJK-UHFFFAOYSA-N	Oligopeptides	CHEMONTID:0004831
PQTOILJDEFIHNC-UHFFFAOYSA-N	Oligopeptides	CHEMONTID:0004831
RJQLGYIYTYEJRJ-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
BCLDVYSWYLLYHR-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
BZIANMSHZDPJRY-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
ZCUWEZMQVUKAHO-UHFFFAOYSA-N	Oligopeptides	CHEMONTID:0004831
JXWJXDINKIYREN-UHFFFAOYSA-N	N-acyl-alpha-hexosamines	CHEMONTID:0002276
YFWBJDYCSYHRAJ-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
VCQBIKGSHUDOHH-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
UDVTUBUKMYYWCJ-UHFFFAOYSA-N	Oligopeptides	CHEMONTID:0004831
CJHVEGPKUNOBAM-UHFFFAOYSA-N	Oligopeptides	CHEMONTID:0004831
XXCWXCHSYWFQDA-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
CQKKZHJSTMYCKR-UHFFFAOYSA-N	Polypeptides	CHEMONTID:0003298
